SOURCE PKS0408-65 4.13900 -65.75249
COEFF 2.0000000000000000e+00 1.4000000000000000e+01 4.2918536828491507e-07
COEFF 2.0000000000000000e+00 1.5000000000000000e+01 -2.4578646835264335e-07
COEFF 2.0000000000000000e+00 1.6000000000000000e+01 6.6508401219080136e-08
COEFF 2.0000000000000000e+00 1.7000000000000000e+01 5.7494700811227088e-07
COEFF 2.0000000000000000e+00 1.8000000000000000e+01 -3.0947676994140557e-07
COEFF 2.0000000000000000e+00 1.9000000000000000e+01 -6.3619695574695125e-07
COEFF 2.0000000000000000e+00 2.0000000000000000e+01 3.1796754731545998e-07
COEFF 2.0000000000000000e+00 2.1000000000000000e+01 4.8998980386648128e-07
COEFF 2.0000000000000000e+00 2.2000000000000000e+01 -1.8058647789202361e-07
COEFF 2.0000000000000000e+00 2.3000000000000000e+01 -2.2674013334404695e-07
COEFF 3.0000000000000000e+00 0.0000000000000000e+00 1.6437315833639798e-05
COEFF 3.0000000000000000e+00 1.0000000000000000e+00 -1.5743611839597688e-05
COEFF 3.0000000000000000e+00 2.0000000000000000e+00 2.4487120049521407e-06
COEFF 3.0000000000000000e+00 3.0000000000000000e+00 3.8114193730112998e-06
COEFF 3.0000000000000000e+00 4.0000000000000000e+00 -4.9865582668572954e-07
COEFF 3.0000000000000000e+00 5.0000000000000000e+00 1.0439246312112309e-06
COEFF 3.0000000000000000e+00 6.0000000000000000e+00 -1.4808636656959546e-06
COEFF 3.0000000000000000e+00 7.0000000000000000e+00 -1.4488847487366713e-06
COEFF 3.0000000000000000e+00 8.0000000000000000e+00 1.5451287767729769e-06
COEFF 3.0000000000000000e+00 9.0000000000000000e+00 2.9080740844963126e-07
COEFF 3.0000000000000000e+00 1.0000000000000000e+01 -6.7764043865611662e-07
COEFF 3.0000000000000000e+00 1.1000000000000000e+01 8.0876326911979031e-07
COEFF 3.0000000000000000e+00 1.2000000000000000e+01 -1.8258608138404283e-07
COEFF 3.0000000000000000e+00 1.3000000000000000e+01 -1.2819114687441526e-06
COEFF 3.0000000000000000e+00 1.4000000000000000e+01 6.3672576433694902e-07
COEFF 3.0000000000000000e+00 1.5000000000000000e+01 1.1625193128292138e-06
COEFF 3.0000000000000000e+00 1.6000000000000000e+01 -6.8233328886987431e-07
COEFF 3.0000000000000000e+00 1.7000000000000000e+01 -7.0275213832542380e-07
COEFF 3.0000000000000000e+00 1.8000000000000000e+01 4.7256249596785382e-07
COEFF 3.0000000000000000e+00 1.9000000000000000e+01 1.4810241383684274e-07
COEFF 3.0000000000000000e+00 2.0000000000000000e+01 -1.6748832626526964e-07
COEFF 3.0000000000000000e+00 2.1000000000000000e+01 3.1201816549342811e-07
